datetime,open,high,low,close,volume
2025-08-11 21:00:00,148.088,148.118,148.015,148.085,874
2025-08-11 22:00:00,148.115,148.235,148.097,148.195,1638
2025-08-11 23:00:00,148.21,148.218,148.118,148.148,1956
2025-08-12 00:00:00,148.153,148.429,148.128,148.406,5870
2025-08-12 01:00:00,148.403,148.404,148.21,148.304,4724
2025-08-12 02:00:00,148.305,148.342,148.255,148.293,3218
2025-08-12 03:00:00,148.294,148.442,148.266,148.414,3395
2025-08-12 04:00:00,148.416,148.448,148.342,148.351,4194
2025-08-12 05:00:00,148.352,148.403,148.231,148.339,6069
2025-08-12 06:00:00,148.346,148.404,148.148,148.269,6733
2025-08-12 07:00:00,148.269,148.37,148.204,148.264,6694
2025-08-12 08:00:00,148.265,148.468,148.262,148.425,5755
2025-08-12 09:00:00,148.416,148.484,148.352,148.473,5365
2025-08-12 10:00:00,148.474,148.481,148.366,148.467,4124
2025-08-12 11:00:00,148.463,148.494,148.44,148.44,4421
2025-08-12 12:00:00,148.439,148.518,147.829,148.035,11840
2025-08-12 13:00:00,148.049,148.448,147.904,148.205,13710
2025-08-12 14:00:00,148.206,148.402,148.074,148.164,11365
2025-08-12 15:00:00,148.165,148.178,147.578,147.808,9981
2025-08-12 16:00:00,147.812,147.861,147.66,147.711,8301
2025-08-12 17:00:00,147.712,147.795,147.689,147.761,6514
2025-08-12 18:00:00,147.762,147.803,147.693,147.736,5037
2025-08-12 19:00:00,147.737,147.784,147.696,147.759,3814
2025-08-12 20:00:00,147.76,147.811,147.746,147.811,1420
2025-08-12 21:00:00,147.783,147.837,147.722,147.817,1334
2025-08-12 22:00:00,147.841,147.853,147.766,147.793,1723
2025-08-12 23:00:00,147.792,147.82,147.732,147.774,1985
2025-08-13 00:00:00,147.768,147.892,147.699,147.802,5693
2025-08-13 01:00:00,147.8,148.087,147.732,148.055,4907
2025-08-13 02:00:00,148.058,148.165,148.026,148.046,4138
2025-08-13 03:00:00,148.052,148.109,147.961,147.999,3605
2025-08-13 04:00:00,148.002,148.099,147.93,147.933,3903
2025-08-13 05:00:00,147.934,148.01,147.896,147.932,4037
2025-08-13 06:00:00,147.935,147.947,147.721,147.783,6437
2025-08-13 07:00:00,147.787,147.791,147.401,147.53,7297
2025-08-13 08:00:00,147.532,147.537,147.2,147.271,7266
2025-08-13 09:00:00,147.262,147.271,147.179,147.214,5779
2025-08-13 10:00:00,147.214,147.417,147.191,147.41,5818
2025-08-13 11:00:00,147.409,147.566,147.274,147.281,5818
2025-08-13 12:00:00,147.286,147.493,147.155,147.408,6906
2025-08-13 13:00:00,147.41,147.431,147.193,147.207,7333
2025-08-13 14:00:00,147.209,147.252,147.098,147.146,8548
2025-08-13 15:00:00,147.147,147.313,147.087,147.25,6733
2025-08-13 16:00:00,147.248,147.349,147.213,147.346,5034
2025-08-13 17:00:00,147.345,147.424,147.318,147.391,4562
2025-08-13 18:00:00,147.389,147.514,147.389,147.436,4069
2025-08-13 19:00:00,147.437,147.477,147.384,147.445,3469
2025-08-13 20:00:00,147.445,147.457,147.348,147.352,1495
2025-08-13 21:00:00,147.357,147.357,147.226,147.251,624
2025-08-13 22:00:00,147.262,147.355,147.248,147.259,1947
2025-08-13 23:00:00,147.255,147.257,147.11,147.116,1949
2025-08-14 00:00:00,147.118,147.119,146.617,146.693,7194
2025-08-14 01:00:00,146.695,146.695,146.375,146.497,8141
2025-08-14 02:00:00,146.499,146.735,146.499,146.698,5676
2025-08-14 03:00:00,146.699,146.748,146.544,146.551,4253
2025-08-14 04:00:00,146.55,146.569,146.337,146.387,4219
2025-08-14 05:00:00,146.388,146.572,146.388,146.468,5569
2025-08-14 06:00:00,146.473,146.527,146.213,146.484,8533
2025-08-14 07:00:00,146.483,146.587,146.312,146.551,9211
2025-08-14 08:00:00,146.552,146.633,146.424,146.554,7529
2025-08-14 09:00:00,146.549,146.649,146.437,146.63,6461
2025-08-14 10:00:00,146.631,146.667,146.432,146.527,5853
2025-08-14 11:00:00,146.527,146.63,146.436,146.494,5705
2025-08-14 12:00:00,146.493,147.1,146.425,146.954,11640
2025-08-14 13:00:00,146.951,147.421,146.947,147.416,11620
2025-08-14 14:00:00,147.418,147.56,147.363,147.483,9582
2025-08-14 15:00:00,147.484,147.807,147.476,147.691,9083
2025-08-14 16:00:00,147.69,147.892,147.685,147.85,6966
2025-08-14 17:00:00,147.849,147.91,147.753,147.869,4896
2025-08-14 18:00:00,147.867,147.959,147.851,147.879,4825
2025-08-14 19:00:00,147.878,147.881,147.764,147.779,3679
2025-08-14 20:00:00,147.781,147.781,147.732,147.757,1384
2025-08-14 21:00:00,147.74,147.824,147.709,147.734,827
2025-08-14 22:00:00,147.768,147.809,147.74,147.775,1533
2025-08-14 23:00:00,147.77,147.87,147.659,147.685,2396
2025-08-15 00:00:00,147.687,147.73,147.463,147.482,5342
2025-08-15 01:00:00,147.481,147.515,147.202,147.288,5229
2025-08-15 02:00:00,147.286,147.394,147.249,147.283,4012
2025-08-15 03:00:00,147.278,147.297,147.176,147.225,3852
2025-08-15 04:00:00,147.226,147.234,147.111,147.136,2928
2025-08-15 05:00:00,147.142,147.172,147.047,147.151,3617
2025-08-15 06:00:00,147.148,147.22,147.049,147.098,6022
2025-08-15 07:00:00,147.096,147.222,146.978,147.006,5912
2025-08-15 08:00:00,147.01,147.012,146.854,146.858,5867
2025-08-15 09:00:00,146.859,146.912,146.759,146.891,4883
2025-08-15 10:00:00,146.882,146.969,146.802,146.953,4108
2025-08-15 11:00:00,146.957,147.051,146.91,146.983,3963
2025-08-15 12:00:00,146.988,147.269,146.736,146.889,8807
2025-08-15 13:00:00,146.88,147.097,146.769,146.966,10223
2025-08-15 14:00:00,146.966,147.046,146.8,146.852,9391
2025-08-15 15:00:00,146.858,147.045,146.814,147.007,6947
2025-08-15 16:00:00,147.004,147.26,147.001,147.201,5148
2025-08-15 17:00:00,147.2,147.333,147.199,147.24,3864
2025-08-15 18:00:00,147.239,147.309,147.2,147.209,3965
2025-08-15 19:00:00,147.21,147.253,147.193,147.24,3180
2025-08-15 20:00:00,147.238,147.24,147.181,147.22,1246
2025-08-17 21:00:00,147.151,147.168,147.132,147.166,668
2025-08-17 22:00:00,147.172,147.205,147.085,147.175,1766
2025-08-17 23:00:00,147.171,147.387,147.17,147.232,2933
2025-08-18 00:00:00,147.231,147.458,147.226,147.428,6823
2025-08-18 01:00:00,147.43,147.582,147.333,147.336,5579
2025-08-18 02:00:00,147.335,147.526,147.301,147.468,4332
2025-08-18 03:00:00,147.478,147.484,147.338,147.389,3858
